id,room,order,order_common,family,family_common,value,absent,room_total,order_room_total
"house.attic.Acari (mites, ticks).Un ID family",attic,Acari,"mites, ticks",Un ID family,,2,36,38,2
house.attic.Araneae (spiders).Agelenidae (funnel weavers),attic,Araneae,spiders,Agelenidae,funnel weavers,1,37,38,18
"house.attic.Araneae (spiders).Corinnidae (antmimics, ground spiders)",attic,Araneae,spiders,Corinnidae,"antmimics, ground spiders",2,36,38,18
house.attic.Araneae (spiders).Lycosidae (wolf spiders),attic,Araneae,spiders,Lycosidae,wolf spiders,1,37,38,18
house.attic.Araneae (spiders).Oecobiidae (wall spiders),attic,Araneae,spiders,Oecobiidae,wall spiders,1,37,38,18
house.attic.Araneae (spiders).Oonopidae (goblin spiders),attic,Araneae,spiders,Oonopidae,goblin spiders,2,36,38,18
house.attic.Araneae (spiders).Pholcidae (cellar spiders),attic,Araneae,spiders,Pholcidae,cellar spiders,3,35,38,18
house.attic.Araneae (spiders).Salticidae (jumping spider),attic,Araneae,spiders,Salticidae,jumping spider,1,37,38,18
house.attic.Araneae (spiders).Theridiidae (cobweb spiders),attic,Araneae,spiders,Theridiidae,cobweb spiders,15,23,38,18
house.attic.Araneae (spiders).Thomisidae (crab spiders),attic,Araneae,spiders,Thomisidae,crab spiders,1,37,38,18
house.attic.Araneae (spiders).Un ID family,attic,Araneae,spiders,Un ID family,,1,37,38,18
house.attic.Blattodea (cockroaches).Blattellidae (cockroaches),attic,Blattodea,cockroaches,Blattellidae,cockroaches,1,37,38,7
house.attic.Blattodea (cockroaches).Blattidae (cockroaches),attic,Blattodea,cockroaches,Blattidae,cockroaches,6,32,38,7
house.attic.Coleoptera (beetles).Anthicidae (antlike flower beetles),attic,Coleoptera,beetles,Anthicidae,antlike flower beetles,1,37,38,17
house.attic.Coleoptera (beetles).Carabidae (ground beetles),attic,Coleoptera,beetles,Carabidae,ground beetles,3,35,38,17
house.attic.Coleoptera (beetles).Coccinellidae (ladybugs),attic,Coleoptera,beetles,Coccinellidae,ladybugs,2,36,38,17
house.attic.Coleoptera (beetles).Curculionidae (snout & bark beetles),attic,Coleoptera,beetles,Curculionidae,snout & bark beetles,1,37,38,17
house.attic.Coleoptera (beetles).Dermestidae (carpet beetles),attic,Coleoptera,beetles,Dermestidae,carpet beetles,10,28,38,17
house.attic.Coleoptera (beetles).Elateridae (click beetles),attic,Coleoptera,beetles,Elateridae,click beetles,2,36,38,17
house.attic.Coleoptera (beetles).Lampyridae (fireflies),attic,Coleoptera,beetles,Lampyridae,fireflies,1,37,38,17
house.attic.Coleoptera (beetles).Mordellidae (tumbling flower beetles),attic,Coleoptera,beetles,Mordellidae,tumbling flower beetles,1,37,38,17
house.attic.Coleoptera (beetles).Mycetophagidae (hairy fungus beetles),attic,Coleoptera,beetles,Mycetophagidae,hairy fungus beetles,1,37,38,17
house.attic.Coleoptera (beetles).Ptilodactylidae (toe winged beetles),attic,Coleoptera,beetles,Ptilodactylidae,toe winged beetles,1,37,38,17
house.attic.Coleoptera (beetles).Scarabaeidae (scarab beetles),attic,Coleoptera,beetles,Scarabaeidae,scarab beetles,2,36,38,17
house.attic.Coleoptera (beetles).Tenebrionidae (darkling beetles),attic,Coleoptera,beetles,Tenebrionidae,darkling beetles,2,36,38,17
house.attic.Coleoptera (beetles).Un ID family,attic,Coleoptera,beetles,Un ID family,,3,35,38,17
house.attic.Collembola (springtails).Entomobryidae (slender springtails),attic,Collembola,springtails,Entomobryidae,slender springtails,2,36,38,2
house.attic.Diptera (flies).Cecidomyiidae (gall midges),attic,Diptera,flies,Cecidomyiidae,gall midges,4,34,38,7
house.attic.Diptera (flies).Muscidae (house flies),attic,Diptera,flies,Muscidae,house flies,1,37,38,7
house.attic.Diptera (flies).Sphaeroceridae (lesser dung flies),attic,Diptera,flies,Sphaeroceridae,lesser dung flies,1,37,38,7
house.attic.Diptera (flies).Tipulidae (large crane flies),attic,Diptera,flies,Tipulidae,large crane flies,1,37,38,7
house.attic.Diptera (flies).Un ID family,attic,Diptera,flies,Un ID family,,1,37,38,7
house.attic.Hemiptera (true bugs).Aphididae (aphids),attic,Hemiptera,true bugs,Aphididae,aphids,1,37,38,3
house.attic.Hemiptera (true bugs).Aradidae (flat bugs),attic,Hemiptera,true bugs,Aradidae,flat bugs,1,37,38,3
house.attic.Hemiptera (true bugs).Coreidae (leaf-footed bugs),attic,Hemiptera,true bugs,Coreidae,leaf-footed bugs,1,37,38,3
house.attic.Hemiptera (true bugs).Cydnidae (burrowing bugs),attic,Hemiptera,true bugs,Cydnidae,burrowing bugs,1,37,38,3
house.attic.Hemiptera (true bugs).Pentatomidae (stink bugs),attic,Hemiptera,true bugs,Pentatomidae,stink bugs,2,36,38,3
