id,value,room,order,order_common,family,family_common
house,,,,,,
house.attic,,attic,,,,
"house.attic.Acari (mites, ticks)",,attic,Acari,"mites, ticks",,
"house.attic.Acari (mites, ticks).Un ID family",2,attic,Acari,"mites, ticks",Un ID family,
house.attic.Araneae (spiders),,attic,Araneae,spiders,,
house.attic.Araneae (spiders).Agelenidae (funnel weavers),1,attic,Araneae,spiders,Agelenidae,funnel weavers
"house.attic.Araneae (spiders).Corinnidae (antmimics, ground spiders)",2,attic,Araneae,spiders,Corinnidae,"antmimics, ground spiders"
house.attic.Araneae (spiders).Lycosidae (wolf spiders),1,attic,Araneae,spiders,Lycosidae,wolf spiders
house.attic.Araneae (spiders).Oecobiidae (wall spiders),1,attic,Araneae,spiders,Oecobiidae,wall spiders
house.attic.Araneae (spiders).Oonopidae (goblin spiders),2,attic,Araneae,spiders,Oonopidae,goblin spiders
house.attic.Araneae (spiders).Pholcidae (cellar spiders),3,attic,Araneae,spiders,Pholcidae,cellar spiders
house.attic.Araneae (spiders).Salticidae (jumping spider),1,attic,Araneae,spiders,Salticidae,jumping spider
house.attic.Araneae (spiders).Theridiidae (cobweb spiders),20,attic,Araneae,spiders,Theridiidae,cobweb spiders
house.attic.Araneae (spiders).Thomisidae (crab spiders),1,attic,Araneae,spiders,Thomisidae,crab spiders
house.attic.Araneae (spiders).Un ID family,1,attic,Araneae,spiders,Un ID family,
house.attic.Blattodea (cockroaches),,attic,Blattodea,cockroaches,,
house.attic.Blattodea (cockroaches).Blattellidae (cockroaches),1,attic,Blattodea,cockroaches,Blattellidae,cockroaches
house.attic.Blattodea (cockroaches).Blattidae (cockroaches),9,attic,Blattodea,cockroaches,Blattidae,cockroaches
house.attic.Coleoptera (beetles),,attic,Coleoptera,beetles,,
house.attic.Coleoptera (beetles).Anthicidae (antlike flower beetles),1,attic,Coleoptera,beetles,Anthicidae,antlike flower beetles
house.attic.Coleoptera (beetles).Carabidae (ground beetles),5,attic,Coleoptera,beetles,Carabidae,ground beetles
house.attic.Coleoptera (beetles).Coccinellidae (ladybugs),2,attic,Coleoptera,beetles,Coccinellidae,ladybugs
house.attic.Coleoptera (beetles).Curculionidae (snout & bark beetles),1,attic,Coleoptera,beetles,Curculionidae,snout & bark beetles
house.attic.Coleoptera (beetles).Dermestidae (carpet beetles),15,attic,Coleoptera,beetles,Dermestidae,carpet beetles
house.attic.Coleoptera (beetles).Elateridae (click beetles),2,attic,Coleoptera,beetles,Elateridae,click beetles
house.attic.Coleoptera (beetles).Lampyridae (fireflies),1,attic,Coleoptera,beetles,Lampyridae,fireflies
house.attic.Coleoptera (beetles).Mordellidae (tumbling flower beetles),1,attic,Coleoptera,beetles,Mordellidae,tumbling flower beetles
house.attic.Coleoptera (beetles).Mycetophagidae (hairy fungus beetles),1,attic,Coleoptera,beetles,Mycetophagidae,hairy fungus beetles
house.attic.Coleoptera (beetles).Ptilodactylidae (toe winged beetles),1,attic,Coleoptera,beetles,Ptilodactylidae,toe winged beetles
house.attic.Coleoptera (beetles).Scarabaeidae (scarab beetles),3,attic,Coleoptera,beetles,Scarabaeidae,scarab beetles
house.attic.Coleoptera (beetles).Tenebrionidae (darkling beetles),2,attic,Coleoptera,beetles,Tenebrionidae,darkling beetles
house.attic.Coleoptera (beetles).Un ID family,3,attic,Coleoptera,beetles,Un ID family,
house.attic.Collembola (springtails),,attic,Collembola,springtails,,
house.attic.Collembola (springtails).Entomobryidae (slender springtails),2,attic,Collembola,springtails,Entomobryidae,slender springtails
house.attic.Diptera (flies),,attic,Diptera,flies,,
house.attic.Diptera (flies).Cecidomyiidae (gall midges),7,attic,Diptera,flies,Cecidomyiidae,gall midges
house.attic.Diptera (flies).Muscidae (house flies),1,attic,Diptera,flies,Muscidae,house flies
house.attic.Diptera (flies).Sphaeroceridae (lesser dung flies),1,attic,Diptera,flies,Sphaeroceridae,lesser dung flies
house.attic.Diptera (flies).Tipulidae (large crane flies),1,attic,Diptera,flies,Tipulidae,large crane flies
house.attic.Diptera (flies).Un ID family,1,attic,Diptera,flies,Un ID family,
house.attic.Hemiptera (true bugs),,attic,Hemiptera,true bugs,,
house.attic.Hemiptera (true bugs).Aphididae (aphids),1,attic,Hemiptera,true bugs,Aphididae,aphids
house.attic.Hemiptera (true bugs).Aradidae (flat bugs),1,attic,Hemiptera,true bugs,Aradidae,flat bugs
house.attic.Hemiptera (true bugs).Coreidae (leaf-footed bugs),1,attic,Hemiptera,true bugs,Coreidae,leaf-footed bugs
house.attic.Hemiptera (true bugs).Cydnidae (burrowing bugs),1,attic,Hemiptera,true bugs,Cydnidae,burrowing bugs
house.attic.Hemiptera (true bugs).Pentatomidae (stink bugs),2,attic,Hemiptera,true bugs,Pentatomidae,stink bugs
"house.attic.Hymenoptera (bees, wasps, ants)",,attic,Hymenoptera,"bees, wasps, ants",,
"house.attic.Hymenoptera (bees, wasps, ants).Formicidae (ants)",25,attic,Hymenoptera,"bees, wasps, ants",Formicidae,ants
"house.attic.Hymenoptera (bees, wasps, ants).Halictidae (sweat bees)",1,attic,Hymenoptera,"bees, wasps, ants",Halictidae,sweat bees
"house.attic.Hymenoptera (bees, wasps, ants).Ichneumonidae (scorpion wasps)",1,attic,Hymenoptera,"bees, wasps, ants",Ichneumonidae,scorpion wasps
"house.attic.Hymenoptera (bees, wasps, ants).Megachilidae (leaf cutter & mason bees)",1,attic,Hymenoptera,"bees, wasps, ants",Megachilidae,leaf cutter & mason bees
"house.attic.Hymenoptera (bees, wasps, ants).Pompilidae (spider wasps)",1,attic,Hymenoptera,"bees, wasps, ants",Pompilidae,spider wasps
"house.attic.Hymenoptera (bees, wasps, ants).Sphecidae (thread-waisted wasps)",1,attic,Hymenoptera,"bees, wasps, ants",Sphecidae,thread-waisted wasps
"house.attic.Hymenoptera (bees, wasps, ants).Tiphiidae (tiphiid wasps)",1,attic,Hymenoptera,"bees, wasps, ants",Tiphiidae,tiphiid wasps
"house.attic.Hymenoptera (bees, wasps, ants).Un ID family",1,attic,Hymenoptera,"bees, wasps, ants",Un ID family,
"house.attic.Hymenoptera (bees, wasps, ants).Vespidae (yellowjackets, etc)",2,attic,Hymenoptera,"bees, wasps, ants",Vespidae,"yellowjackets, etc"
"house.attic.Isopoda (woodlice, pillbugs, roly-poly's)",,attic,Isopoda,"woodlice, pillbugs, roly-poly's",,
"house.attic.Isopoda (woodlice, pillbugs, roly-poly's).Armadillidiidae (pillbugs)",2,attic,Isopoda,"woodlice, pillbugs, roly-poly's",Armadillidiidae,pillbugs
house.attic.No specimens,,attic,No specimens,,,
house.attic.No specimens.No specimens,0,attic,No specimens,,No specimens,
house.attic.Opiliones (harvestmen),,attic,Opiliones,harvestmen,,
house.attic.Opiliones (harvestmen).Un ID family,1,attic,Opiliones,harvestmen,Un ID family,
"house.attic.Orthoptera (grasshoppers, etc)",,attic,Orthoptera,"grasshoppers, etc",,
"house.attic.Orthoptera (grasshoppers, etc).Mogoplistidae (scaly crickets)",1,attic,Orthoptera,"grasshoppers, etc",Mogoplistidae,scaly crickets
house.attic.Polydesmida (flat-backed millipedes),,attic,Polydesmida,flat-backed millipedes,,
house.attic.Polydesmida (flat-backed millipedes).Paradoxosomatidae (millipedes),1,attic,Polydesmida,flat-backed millipedes,Paradoxosomatidae,millipedes
house.attic.Polydesmida (flat-backed millipedes).Un ID family,1,attic,Polydesmida,flat-backed millipedes,Un ID family,
"house.attic.Psocodea (barklice, booklice, parasitic lice)",,attic,Psocodea,"barklice, booklice, parasitic lice",,
"house.attic.Psocodea (barklice, booklice, parasitic lice).Lepidopsocidae (scaly winged barklice)",1,attic,Psocodea,"barklice, booklice, parasitic lice",Lepidopsocidae,scaly winged barklice
"house.attic.Psocodea (barklice, booklice, parasitic lice).Liposcelididae (booklice)",16,attic,Psocodea,"barklice, booklice, parasitic lice",Liposcelididae,booklice
"house.attic.Psocodea (barklice, booklice, parasitic lice).Stenopsocidae (narrow barklice)",1,attic,Psocodea,"barklice, booklice, parasitic lice",Stenopsocidae,narrow barklice
"house.attic.Psocodea (barklice, booklice, parasitic lice).Un ID family",2,attic,Psocodea,"barklice, booklice, parasitic lice",Un ID family,
house.attic.Thysanoptera (thrips),,attic,Thysanoptera,thrips,,
house.attic.Thysanoptera (thrips).Thripidae (thrips),1,attic,Thysanoptera,thrips,Thripidae,thrips
house.attic.Un ID order,,attic,Un ID order,,,
house.attic.Un ID order.Un ID family,1,attic,Un ID order,,Un ID family,
house.attic.Zygentoma (silverfish),,attic,Zygentoma,silverfish,,
house.attic.Zygentoma (silverfish).Lepismatidae (silverfish),8,attic,Zygentoma,silverfish,Lepismatidae,silverfish
house.basement,,basement,,,,
"house.basement.Acari (mites, ticks)",,basement,Acari,"mites, ticks",,
"house.basement.Acari (mites, ticks).Galumnidae (mites)",1,basement,Acari,"mites, ticks",Galumnidae,mites
"house.basement.Acari (mites, ticks).Oribatida (moss mites)",15,basement,Acari,"mites, ticks",Oribatida,moss mites
"house.basement.Acari (mites, ticks).Tetranychidae (spider mites)",1,basement,Acari,"mites, ticks",Tetranychidae,spider mites
"house.basement.Acari (mites, ticks).Un ID family",19,basement,Acari,"mites, ticks",Un ID family,
house.basement.Araneae (spiders),,basement,Araneae,spiders,,
house.basement.Araneae (spiders).Agelenidae (funnel weavers),14,basement,Araneae,spiders,Agelenidae,funnel weavers
house.basement.Araneae (spiders).Anyphaenidae (ghost spiders),1,basement,Araneae,spiders,Anyphaenidae,ghost spiders
house.basement.Araneae (spiders).Araneidae (orb weavers),1,basement,Araneae,spiders,Araneidae,orb weavers
"house.basement.Araneae (spiders).Corinnidae (antmimics, ground spiders)",6,basement,Araneae,spiders,Corinnidae,"antmimics, ground spiders"
"house.basement.Araneae (spiders).Dysderidae (woodlouse hunters, cell spiders)",2,basement,Araneae,spiders,Dysderidae,"woodlouse hunters, cell spiders"
house.basement.Araneae (spiders).Gnaphosidae (ground spiders),4,basement,Araneae,spiders,Gnaphosidae,ground spiders
house.basement.Araneae (spiders).Linyphiidae (sheetweb & dwarf spiders),2,basement,Araneae,spiders,Linyphiidae,sheetweb & dwarf spiders
house.basement.Araneae (spiders).Lycosidae (wolf spiders),6,basement,Araneae,spiders,Lycosidae,wolf spiders
house.basement.Araneae (spiders).Mimetidae (pirate spiders),1,basement,Araneae,spiders,Mimetidae,pirate spiders
house.basement.Araneae (spiders).Miturgidae (prowling spiders),1,basement,Araneae,spiders,Miturgidae,prowling spiders
house.basement.Araneae (spiders).Pholcidae (cellar spiders),27,basement,Araneae,spiders,Pholcidae,cellar spiders
house.basement.Araneae (spiders).Pisauridae (nursery web spider),2,basement,Araneae,spiders,Pisauridae,nursery web spider
house.basement.Araneae (spiders).Salticidae (jumping spider),2,basement,Araneae,spiders,Salticidae,jumping spider
house.basement.Araneae (spiders).Scytodidae (spitting spider),1,basement,Araneae,spiders,Scytodidae,spitting spider
house.basement.Araneae (spiders).Segestriidae (tube web spiders),2,basement,Araneae,spiders,Segestriidae,tube web spiders
house.basement.Araneae (spiders).Theridiidae (cobweb spiders),89,basement,Araneae,spiders,Theridiidae,cobweb spiders
house.basement.Araneae (spiders).Thomisidae (crab spiders),1,basement,Araneae,spiders,Thomisidae,crab spiders
house.basement.Araneae (spiders).Uloboridae (cribellate orb weavers),1,basement,Araneae,spiders,Uloboridae,cribellate orb weavers
house.basement.Araneae (spiders).Un ID family,10,basement,Araneae,spiders,Un ID family,
house.basement.Blattodea (cockroaches),,basement,Blattodea,cockroaches,,
house.basement.Blattodea (cockroaches).Blattellidae (cockroaches),3,basement,Blattodea,cockroaches,Blattellidae,cockroaches
house.basement.Blattodea (cockroaches).Blattidae (cockroaches),22,basement,Blattodea,cockroaches,Blattidae,cockroaches
house.basement.Blattodea (cockroaches).Un ID family,1,basement,Blattodea,cockroaches,Un ID family,
house.basement.Callipodida (crested millipedes),,basement,Callipodida,crested millipedes,,
house.basement.Callipodida (crested millipedes).Abacionidae (millipedes),3,basement,Callipodida,crested millipedes,Abacionidae,millipedes
house.basement.Coleoptera (beetles),,basement,Coleoptera,beetles,,
house.basement.Coleoptera (beetles).Anobiidae (death watch beetles),5,basement,Coleoptera,beetles,Anobiidae,death watch beetles
house.basement.Coleoptera (beetles).Cantharidae (soldier beetles),1,basement,Coleoptera,beetles,Cantharidae,soldier beetles
house.basement.Coleoptera (beetles).Carabidae (ground beetles),37,basement,Coleoptera,beetles,Carabidae,ground beetles
house.basement.Coleoptera (beetles).Coccinellidae (ladybugs),1,basement,Coleoptera,beetles,Coccinellidae,ladybugs
house.basement.Coleoptera (beetles).Curculionidae (snout & bark beetles),15,basement,Coleoptera,beetles,Curculionidae,snout & bark beetles
house.basement.Coleoptera (beetles).Dermestidae (carpet beetles),16,basement,Coleoptera,beetles,Dermestidae,carpet beetles
house.basement.Coleoptera (beetles).Elateridae (click beetles),14,basement,Coleoptera,beetles,Elateridae,click beetles
house.basement.Coleoptera (beetles).Histeridae (clown beetles),1,basement,Coleoptera,beetles,Histeridae,clown beetles
house.basement.Coleoptera (beetles).Lampyridae (fireflies),1,basement,Coleoptera,beetles,Lampyridae,fireflies
house.basement.Coleoptera (beetles).Latridiidae (minute brown scavenger beetles),1,basement,Coleoptera,beetles,Latridiidae,minute brown scavenger beetles
house.basement.Coleoptera (beetles).Lycidae (net-winged beetles),1,basement,Coleoptera,beetles,Lycidae,net-winged beetles
house.basement.Coleoptera (beetles).Melyridae (soft winged flower beetles),2,basement,Coleoptera,beetles,Melyridae,soft winged flower beetles
house.basement.Coleoptera (beetles).Mordellidae (tumbling flower beetles),2,basement,Coleoptera,beetles,Mordellidae,tumbling flower beetles
house.basement.Coleoptera (beetles).Nitidulidae (sap beetles),3,basement,Coleoptera,beetles,Nitidulidae,sap beetles
house.basement.Coleoptera (beetles).Passalidae (bess beetles),1,basement,Coleoptera,beetles,Passalidae,bess beetles
house.basement.Coleoptera (beetles).Phalacridae (shining flower beetles),1,basement,Coleoptera,beetles,Phalacridae,shining flower beetles
house.basement.Coleoptera (beetles).Ptiliidae (featherwing beetles),1,basement,Coleoptera,beetles,Ptiliidae,featherwing beetles
house.basement.Coleoptera (beetles).Ptilodactylidae (toe winged beetles),3,basement,Coleoptera,beetles,Ptilodactylidae,toe winged beetles
